taxon_id,scientific_name,observation_count
48347,Vaccinium membranaceum,1525
61100,Salix sitchensis,1517
77177,Fritillaria pudica,1508
78231,Nothochelone nemorosa,1503
64055,Dryopteris expansa,1501
143675,Cirsium edule,1489
59520,Erythronium oregonum,1481
58961,Plantago major,1474
54840,Populus tremuloides,1454
56099,Ajuga reptans,1450
57277,Veronica americana,1427
52724,Equisetum arvense,1413
76469,Crataegus douglasii,1383
61000,Carex obnupta,1379
48685,Typha latifolia,1376
77481,Hypericum calycinum,1376
75770,Bistorta bistortoides,1370
77791,Lithophragma parviflorum,1369
55829,Cardamine hirsuta,1360
54835,Prunus virginiana,1358
82689,Arbutus unedo,1354
76447,Cornus nuttallii,1352
56854,Adenocaulon bicolor,1351
76920,Erigeron glacialis,1347
59087,Toxicoscordion venenosum,1346
78399,Penstemon davidsonii,1339
79273,Streptopus amplexifolius,1330
204339,Lamium galeobdolon,1319
56088,Robinia pseudoacacia,1318
76976,Eriogonum compositum,1312
53166,Osmorhiza berteroi,1307
77914,Lycopodium clavatum,1304
53211,Senecio vulgaris,1301
153412,Corydalis scouleri,1301
59549,Lupinus polyphyllus,1287
52720,Dactylis glomerata,1282
55837,Prunus cerasifera,1280
127181,Pieris japonica,1280
78123,Montia parvifolia,1277
120870,Leucolepis acanthoneura,1277
53076,Geranium molle,1270
78372,Pedicularis racemosa,1269
47359,Apocynum androsaemifolium,1261
63078,Acer glabrum,1258
78943,Salix lasiandra,1256
553849,Rhododendron menziesii,1256
57317,Vicia villosa,1255
129020,Veronica officinalis,1255
51274,Heuchera micrantha,1253
77155,Fragaria virginiana,1251
53269,Sonchus asper,1250
71135,Ambrosia chamissonis,1249
75573,Arnica latifolia,1243
59782,Allium acuminatum,1242
54143,Tragopogon dubius,1241
59982,Phacelia hastata,1239
77818,Lomatium nudicaule,1238
914922,Reynoutria japonica,1229
62292,Asclepias speciosa,1224
52992,Matricaria discoidea,1222
122705,Plagiomnium insigne,1220
77830,Lomatium triternatum,1219
78367,Pedicularis bracteosa,1219
62584,Claytonia lanceolata,1215
78824,Ranunculus glaberrimus,1214
67804,Purshia tridentata,1212
60530,Cassiope mertensiana,1207
469472,Malus domestica,1197
58725,Juniperus communis,1196
56153,Juncus effusus,1186
143799,Sambucus cerulea,1180
71076,Salix scouleriana,1179
123586,Plagiothecium undulatum,1179
53328,Viola adunca,1178
78852,Ribes bracteosum,1172
47372,Sequoia sempervirens,1155
53021,Convolvulus arvensis,1155
79047,Senecio integerrimus,1155
53416,Lonicera hispidula,1151
78892,Rubus lasiococcus,1143
59567,Sequoiadendron giganteum,1137
62689,Lupinus lepidus,1137
68083,Pinus albicaulis,1135
130220,Rubus pedatus,1124
76536,Cryptogramma acrostichoides,1108
53197,Rumex crispus,1106
127391,Daphne laureola,1100
54897,Eriogonum heracleoides,1099
128614,Cornus kousa,1095
